,PRICE,TRD_VOLUME,MINERS_FEE,TRAN_VOL,PRICE_VOL,MINERS_REVENUE,DIFFICULTY,TRAN_BLOCK,HASH_RATE,MONEY_SUPPLY,BCH_PRICE
2011-11-15,2.69,333163.425185,2.71019744,164076.0,180.32390873454045,7152.71019744,1192498.0,37.0,8.535211737621998,7665850.0,2.37
2011-11-16,2.6,101963.934889,3.09375572,1404997.0,179.2053714261229,8253.09375572,1192498.0,37.0,8.659106290160288,7674100.0,2.32
2011-11-17,2.60031,380780.16171,3.5893076,2577739.0,153.39225735130674,6753.5893076,1192498.0,39.0,8.426390134199725,7680850.0,2.51
2011-11-18,2.38998,99253.8001565,3.04744897,2876441.0,156.3994194401823,6953.04744897,1192498.0,42.0,8.39847483518651,7687800.0,2.24
2011-11-19,2.3,348626.47746900003,3.21931668,2397237.0,154.37341747651726,6653.21931668,1192498.0,44.0,8.507768231676371,7694450.0,2.09
2011-11-20,2.499,256401.03662199999,3.14377243,657977.0,155.12095146707878,6153.14377243,1192498.0,41.0,8.327264476259908,7700600.0,2.19
2011-11-21,2.29,110200.999205,4.09467568,1162237.0,151.5009688179936,7154.09467568,1192498.0,39.0,8.307584081093001,7707750.0,2.24
2011-11-22,2.35,112267.63245899999,2.58214243,1667159.0,134.79821474802714,5902.58214243,1192498.0,42.0,8.095871948547305,7713650.0,2.26
2011-11-23,2.38,104758.997236,2.94898789,1146873.0,135.16810976632766,7002.94898789,1192498.0,47.0,7.8841598160016115,7720650.0,2.32
2011-11-24,2.46,132862.116457,3.5297892999999996,170706.0,124.63764102515695,6703.5297893,1192498.0,46.0,7.8756913306997856,7727350.0,2.33
2011-11-25,2.56,207195.986195,3.93691281,177547.0,125.14812046252251,5653.93691281,1192498.0,43.0,7.655510712852263,7733000.0,2.43
2011-11-26,2.53125,161761.78173299998,4.39227399,176376.0,125.54082431695295,6754.39227399,1192498.0,36.0,7.672447683455919,7739750.0,2.49
2011-11-27,2.4965,64291.6382679,2.73075646,1115079.0,122.16868738321098,6002.73075646,1192498.0,40.0,7.647042227550436,7745750.0,2.48
2011-11-28,2.53899,128670.557007,2.5539407000000005,2650759.0,120.13850169967968,5702.5539407,1192498.0,36.0,7.401456153797432,7751450.0,2.47
2011-11-29,2.9810000000000003,560597.273147,3.07555433,2047500.0,111.26604871917101,6353.07555433,1192498.0,38.0,7.47767252151388,7757800.0,2.53
2011-11-30,2.9589999999999996,302525.591897,5.03436591,4727510.0,114.88963255143659,6905.03436591,1090716.0,39.0,7.360988940688067,7764700.0,2.77
2011-12-01,3.14,360947.27579600003,2.9756703,2459820.0,116.6689298628804,8102.975670300001,1090716.0,44.0,7.481012682356704,7772800.0,2.94
2011-12-02,3.138,215031.277817,4.53891441,3308930.0,117.52333582199059,9104.53891441,1090716.0,48.0,7.9337882909332995,7781900.0,3.06
2011-12-03,3.1299900000000003,279870.273191,4.53895389,3682124.0,117.40081298779178,7304.53895389,1090716.0,37.0,7.921412606844451,7789200.0,3.11
2011-12-04,2.99,432545.74341999996,4.64832001,3204551.0,120.75885150061022,7604.64832001,1090716.0,37.0,8.082538304953891,7796800.0,2.86
2011-12-05,2.93,132611.52254,2.850854,1883357.0,120.86802743449309,6802.850854,1090716.0,36.0,8.170543974418639,7803600.0,2.79
2011-12-06,3.05,192633.82798099998,3.1576801,5825066.0,120.6420603125012,7903.1576801,1090716.0,36.0,8.318864378086158,7811500.0,2.88
2011-12-07,3.082,197024.805601,4.11239046,5313161.0,121.621362981081,8554.11239046,1090716.0,36.0,8.574471942775954,7820050.0,3.01
2011-12-08,3.1,140165.84331700002,3.88469248,3900983.0,121.48648025759523,6903.88469248,1090716.0,42.0,8.388575532092466,7826950.0,3.0
2011-12-09,3.0389999999999997,135255.898761,2.79302224,1170427.0,121.31814314110262,8202.79302224,1090716.0,35.0,8.249153224079848,7835150.0,2.97
2011-12-10,3.04,176107.962598,2.98004826,324851.0,120.88294784011738,7352.98004826,1090716.0,44.0,8.256898907858325,7842500.0,2.98
2011-12-11,3.38,455091.767488,2.88171492,269281.0,120.21046755543074,7202.88171492,1090716.0,42.0,8.194933437630498,7849700.0,3.05
2011-12-12,3.34237,189891.384333,220.26891875,323120.0,120.18723604032722,7820.26891875,1090716.0,33.0,8.318864378086158,7857300.0,3.23
2011-12-13,3.3,118072.734755,177.25090441,162446.0,120.46501196766634,6527.25090441,1155038.0,31.0,8.136759312855583,7863650.0,3.16
2011-12-14,3.2769999999999997,254484.35215500003,4.29630975,127687.0,120.49989657343149,6604.29630975,1155038.0,34.0,7.8949726802279745,7870250.0,3.23
2011-12-15,3.1933,74118.04566739999,3.60771474,141814.0,85.72923971450885,7653.60771474,1155038.0,49.0,8.081045363527572,7877900.0,3.13
2011-12-16,3.23,182288.19456,7.89071743,161418.0,85.06914998044662,5607.89071743,1155038.0,36.0,7.729429230456551,7883500.0,3.19
2011-12-17,3.23,70908.4371106,2.68758378,132783.0,81.49380612965409,5902.68758378,1155038.0,42.0,7.558704507687497,7889400.0,3.19
2011-12-18,3.25,53711.2842767,3.49735366,80667.0,68.70013504016698,7503.49735366,1155038.0,37.0,7.673695695282307,7896900.0,3.2
2011-12-19,3.70036,510063.277349,3.21175952,132682.0,62.349502659752716,7203.21175952,1155038.0,35.0,7.677506626581455,7904100.0,3.2
2011-12-20,4.5,662323.373816,4.14417376,197252.0,65.65805307674664,7954.14417376,1155038.0,30.0,7.9399854856098795,7912050.0,3.47
2011-12-21,4.11,418278.253995,5.88158532,164386.0,77.26305986666813,6705.88158532,1155038.0,31.0,7.956390414299157,7918750.0,3.96
2011-12-22,3.99199,257009.433073,4.28248176,105090.0,77.98233844756129,7454.28248176,1155038.0,35.0,7.923580556920606,7926200.0,3.91
2011-12-23,3.95,118547.041078,3.48331211,96289.0,78.93857367868188,7403.48331211,1155038.0,33.0,8.218869273327584,7933600.0,3.84
2011-12-24,3.9499,72107.9587901,2.54099651,84429.0,78.83692034493049,7102.54099651,1155038.0,35.0,8.415728417598903,7940700.0,3.93
2011-12-25,4.3897,350822.337749,2.26243962,66063.0,78.54883839301553,7252.26243962,1155038.0,39.0,8.374716095875714,7947950.0,3.93
2011-12-26,4.31259,419204.353023,2.95722873,83490.0,80.10948718266367,8702.95722873,1155038.0,33.0,8.620790026214863,7956650.0,4.18
2011-12-27,4.06,153015.192383,3.20939154,82715.0,81.9786802254382,8853.20939154,1159929.0,30.0,8.774582174188389,7965500.0,4.03
2011-12-28,4.18888,165417.159031,3.10599914,93300.0,81.75920467106309,7253.10599914,1159929.0,38.0,8.869845606932264,7972750.0,4.05
2011-12-29,4.33,307207.518708,3.59361524,116367.0,81.83942649594394,7753.59361524,1159929.0,34.0,8.924444050708319,7980500.0,4.17
2011-12-30,4.3,184602.216423,3.66615096,84444.0,77.43271576168428,6903.66615096,1159929.0,36.0,8.847212599286033,7987400.0,4.19
2011-12-31,4.995,648541.697417,3.25513587,83180.0,75.67194230076421,7103.25513587,1159929.0,47.0,8.852144724412275,7994500.0,4.22
2012-01-01,5.2,426262.035271,4.10688148,168855.0,81.04772492882991,7554.10688148,1159929.0,37.0,8.906604235086181,8002050.0,4.66
2012-01-02,5.4999,594783.344525,3.44370788,103335.0,87.90647871281273,7653.44370788,1159929.0,34.0,8.739666675005928,8009700.0,5.21
2012-01-03,5.29,557476.602318,5.54740864,84487.0,80.2633283642998,7555.54740864,1159929.0,39.0,8.525499536881371,8017250.0,5.22
2012-01-04,5.6063,473018.59971700003,5.46500094,118758.0,84.25787711592686,7955.46500094,1159929.0,37.0,8.640820303563824,8025200.0,4.89
2012-01-05,6.399,1054656.81813,14.19312876,211068.0,88.9460284591215,7464.19312876,1159929.0,45.0,8.591397117842773,8032650.0,5.41
2012-01-06,7.22,1888020.1158599998,5.9533829,173644.0,104.71995756604423,7355.953382899999,1159929.0,47.0,8.66553189642435,8040000.0,6.48
2012-01-07,7.015560000000001,484924.266891,6.13445621,104557.0,104.25609866043376,8556.13445621,1159929.0,41.0,8.904410627409431,8048550.0,6.72
2012-01-08,7.2,428239.435131,4.66858558,80489.0,103.69094065008079,9204.66858558,1159929.0,55.0,9.176238148875216,8057750.0,6.76
2012-01-09,7.2,935777.458691,3.59259715,150094.0,103.51774702890916,8153.59259715,1250758.0,42.0,9.363748247229958,8065900.0,7.08
2012-01-10,6.89,848166.172425,6.52666106,107633.0,114.5909816564346,8206.52666106,1250758.0,45.0,9.576614957599533,8074100.0,6.33
2012-01-11,7.138,841167.10546,4.76118333,109663.0,114.05000565588199,7054.76118333,1250758.0,42.0,9.519293101194489,8081150.0,6.4
2012-01-12,6.997000000000001,909030.2953540001,5.68863139,79120.0,113.92386761759667,7655.68863139,1250758.0,41.0,9.650929822285043,8088800.0,6.85
2012-01-13,6.8583899897,452370.55691499996,41.32223565,171761.0,114.73080528977613,7791.32223565,1250758.0,50.0,9.81680537216493,8096550.0,6.76
2012-01-14,6.75,781797.291696,12.63861056,123925.0,115.03116581741357,7012.63861056,1250758.0,47.0,9.651754927543294,8103550.0,6.52
2012-01-15,6.98999,608385.040367,10.17800219,79372.0,115.01773850353679,7510.17800219,1250758.0,48.0,9.468443081604251,8111050.0,6.7
2012-01-16,7.18888,742853.822772,23.02838049,127665.0,114.73558388046905,6973.02838049,1250758.0,37.0,9.255269879016543,8118000.0,6.95
2012-01-17,6.98,929941.5205379999,29.07327978,145102.0,116.45768979826788,8779.07327978,1250758.0,40.0,9.35297426353591,8126750.0,6.71
2012-01-18,6.95,2327006.60673,7.80493651,153419.0,125.83782998049436,7857.80493651,1250758.0,34.0,9.49508973192772,8134600.0,5.99
2012-01-19,6.3,730224.229471,10.67030143,124975.0,124.36375291180457,6410.67030143,1250758.0,50.0,9.273034312565516,8141000.0,5.93
2012-01-20,6.58,601985.154708,27.44711645,146398.0,117.98390610730152,7527.44711645,1250758.0,51.0,9.228623228693076,8148500.0,6.23
2012-01-21,6.55,446998.40775699995,24.25790657,92748.0,117.80059581091804,7324.25790657,1250758.0,51.0,9.281916529340004,8155800.0,6.47
2012-01-22,6.39,220711.106262,4.44828397,62236.0,118.55481108357316,8154.44828397,1250758.0,47.0,9.397385347408347,8163950.0,6.25
2012-01-23,6.45485,259120.97255900002,2.83809587,70085.0,118.54055907922758,6802.83809587,1307728.0,39.0,9.425760295980428,8170750.0,6.32
2012-01-24,6.515,211725.841247,4.93322722,96848.0,118.54055907922758,8504.93322722,1307728.0,39.0,9.450126210727417,8179250.0,6.32
2012-01-25,6.45,529706.3012260001,9.69517255,118374.0,117.51103084812135,6959.69517255,1307728.0,36.0,9.346481619422518,8186200.0,6.31
2012-01-26,6.2,996019.80095,9.90124733,130921.0,121.2027212725026,7409.90124733,1307728.0,40.0,9.584002400769194,8193600.0,5.8
2012-01-27,5.689,825301.832351,4.54825291,141718.0,123.1938019517642,6904.54825291,1307728.0,51.0,9.533246539531106,8200500.0,5.51
2012-01-28,5.74815,531539.450065,21.49825662,84212.0,124.25183628765444,7071.49825662,1307728.0,42.0,9.545879907454779,8207550.0,5.29
2012-01-29,5.76,299939.361315,6.879422999999999,94613.0,125.58763330651226,7256.879423,1307728.0,43.0,9.444662739630571,8214800.0,5.62
2012-01-30,5.6,281662.550121,219.66343439,82758.0,126.60992443108694,8569.66343439,1307728.0,46.0,9.73255314762324,8223150.0,5.42
2012-01-31,5.65,222331.809498,28.37913881,84150.0,122.33783397727909,8628.37913881,1307728.0,48.0,9.751126722332446,8231750.0,5.5
2012-02-01,5.638,281803.063454,8.21220867,140076.0,116.2018421600012,7508.21220867,1307728.0,43.0,9.853281383233073,8239250.0,5.52
2012-02-02,6.2,858000.309899,3.5872108,139333.0,117.84007125122234,7053.587210799999,1307728.0,47.0,9.788273871750855,8246300.0,5.85
2012-02-03,6.148,399486.44979600003,11.24391681,117984.0,115.66966670748644,7961.24391681,1307728.0,50.0,9.983296406197502,8254250.0,6.07
2012-02-04,6.0,151418.289155,7.14069103,136722.0,110.91598035406004,7907.14069103,1307728.0,50.0,10.141171791225744,8262150.0,5.95
2012-02-05,5.9625,703127.204421,8.42028009,110844.0,90.80959605842749,7858.42028009,1379647.0,58.0,10.332797914108749,8270000.0,5.83
2012-02-06,5.79,388811.42951,4.23219624,118829.0,90.13540147144259,7104.23219624,1379647.0,55.0,10.173151948696843,8277100.0,5.65
2012-02-07,5.70999,499825.87208500004,4.45452233,113991.0,90.128218895365,7304.45452233,1379647.0,46.0,10.0062621175769,8284400.0,5.55
2012-02-08,5.8494,1410604.19028,6.39615213,102272.0,88.70015087715531,6856.39615213,1379647.0,51.0,9.955503948362011,8291250.0,5.67
