,PRICE,TRD_VOLUME,MINERS_FEE,TRAN_VOL,PRICE_VOL,MINERS_REVENUE,DIFFICULTY,TRAN_BLOCK,HASH_RATE,MONEY_SUPPLY,BCH_PRICE
2010-01-01,0.0,0.0,0.0,0.0,,6900.0,1.0,1.0,7.648280055873019e-06,1624700.0,0.0
2010-01-02,0.0,0.0,0.0,100.0,,6600.0,1.0,1.0,7.5275551153439145e-06,1631300.0,0.0
2010-01-03,0.0,0.0,0.0,0.0,,6300.0,1.0,1.0,7.186684695026456e-06,1637600.0,0.0
2010-01-04,0.0,0.0,0.0,20778.0,,9300.0,1.0,1.0,7.3216125697354496e-06,1646900.0,0.0
2010-01-05,0.0,0.0,0.0,0.0,,9050.0,1.0,1.0,7.634077121693121e-06,1655950.0,0.0
2010-01-06,0.0,0.0,0.0,0.0,,9900.0,1.0,1.0,7.825816733121694e-06,1665850.0,0.0
2010-01-07,0.0,0.0,0.0,0.0,,8150.0,1.0,1.0,7.98204900910053e-06,1674000.0,0.0
2010-01-08,0.0,0.0,0.0,0.0,,7700.0,1.0,1.0,8.095672482539684e-06,1681700.0,0.0
2010-01-09,0.0,0.0,0.0,0.0,,7650.0,1.0,1.0,8.244803291428571e-06,1689350.0,0.0
2010-01-10,0.0,0.0,0.0,0.0,,7550.0,1.0,1.0,8.422339968677249e-06,1696900.0,0.0
2010-01-11,0.0,0.0,0.0,0.0,,9500.0,1.0,1.0,8.450745837037037e-06,1706400.0,0.0
2010-01-12,0.0,0.0,0.0,10749.0,,7950.0,1.0,1.0,8.2945135610582e-06,1714350.0,0.0
2010-01-13,0.0,0.0,0.26,6.0,,7950.26,1.0,1.0,8.017556344550264e-06,1722300.0,0.0
