Date,Value
2019-02-10,80267.9627546
2019-02-09,157613.472713
2019-02-08,141362.212515
2019-02-07,147198.810567
2019-02-06,120869.209779
2019-02-05,103370.698657
2019-02-04,76929.1366887
2019-02-03,91739.3725831
2019-02-02,179022.476275
2019-02-01,167866.063325
2019-01-31,215449.843315
2019-01-30,145326.42441
2019-01-29,174584.695091
2019-01-28,62528.490868
2019-01-27,79156.1272492
2019-01-26,128103.410256
2019-01-25,134363.741626
2019-01-24,148557.61538
2019-01-23,157815.460735
2019-01-22,134494.795669
2019-01-21,66397.0946434
2019-01-20,82949.7176382
2019-01-19,124501.4429
2019-01-18,138693.179235
2019-01-17,171796.417542
2019-01-16,344015.360228
2019-01-15,163190.801066
2019-01-14,65602.4039662
2019-01-13,73479.7508624
2019-01-12,297947.560347
2019-01-11,176073.366925
2019-01-10,156089.348321
2019-01-09,146195.545693
2019-01-08,153800.86247
2019-01-07,74868.2473157
2019-01-06,82676.4706494
2019-01-05,141474.798598
2019-01-04,150599.46606
2019-01-03,126389.915254
2019-01-02,59597.6433849
2019-01-01,123791.760063
2018-12-31,70442.9847417
2018-12-30,108797.383112
2018-12-29,168476.817912
2018-12-28,153232.019843
2018-12-27,111855.652233
2018-12-26,106914.503263
2018-12-25,163930.597972
2018-12-24,98123.5294593
2018-12-23,78515.0087199
2018-12-22,203257.007271
2018-12-21,209224.048745
2018-12-20,238015.645975
2018-12-19,205069.825824
2018-12-18,161537.168599
2018-12-17,98059.2864856
2018-12-16,91527.8806901
2018-12-15,161726.038721
2018-12-14,170513.383098
2018-12-13,161535.002051
2018-12-12,216726.789699
2018-12-11,150823.587248
2018-12-10,80735.9422766
2018-12-09,108889.78383
2018-12-08,222453.484416
2018-12-07,385583.734439
2018-12-06,372914.991753
2018-12-05,629491.330519
2018-12-04,319552.043684
2018-12-03,84399.9051171
2018-12-02,171285.3348
2018-12-01,396401.823997
2018-11-30,217174.921717
2018-11-29,198420.887231
2018-11-28,229185.331849
2018-11-27,192156.33752
2018-11-26,164197.54108
2018-11-25,96229.7512387
2018-11-24,171530.139682
2018-11-23,147946.463726
2018-11-22,227159.863465
2018-11-21,319755.5004
2018-11-20,199215.203995
2018-11-19,63965.1652726
2018-11-18,87802.0870213
2018-11-17,195693.857375
2018-11-16,484615.072092
2018-11-15,194572.325305
2018-11-14,128317.636194
2018-11-13,116184.530485
2018-11-12,60560.6928099
2018-11-11,60079.8819295
2018-11-10,131258.853247
2018-11-09,119749.937169
2018-11-08,129474.316446
2018-11-07,116941.352944
2018-11-06,117226.222879
2018-11-05,81500.9128427
2018-11-04,57759.2909875
2018-11-03,134066.904369
2018-11-02,125925.684817
2018-11-01,128050.18362
2018-10-31,99727.5628864
2018-10-30,141597.678483
2018-10-29,71645.1647159
2018-10-28,57115.0184232
2018-10-27,115753.254182
2018-10-26,127063.225023
2018-10-25,120219.609724
2018-10-24,113622.789227
2018-10-23,113898.245369
2018-10-22,45300.1850113
2018-10-21,106906.931884
2018-10-20,129375.825996
2018-10-19,133635.807579
2018-10-18,110442.134651
2018-10-17,136972.661056
